run_id,backbone,backbones,backbone_combination,backbone_count,feature_source,fusion_method,seed,feature_dim,fusion_input_dim,fusion_output_dim,projection_dim,class_weighting,optimizer,learning_rate,weight_decay,dropout,hidden_dims,experiment_name,run_tag,best_val_macro_f1,best_val_epoch,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,experiment_group,short_name,display_name
20260531_134600_finetuned_classaware_effb0_none_mlp_s42,efficientnet_b0,"[""efficientnet_b0""]",efficientnet_b0,1,finetuned_classaware,none,42,1280,,,,True,adamw,0.001,0.0001,0.3,"[512, 256]",single_backbone_finetuned_classaware_baseline,,0.5689631391203409,3,0.7350199733688415,0.5724354511280552,0.6910005388182776,0.6189619630415101,0.7535424076699566,single,effb0,effb0
20260531_134554_finetuned_classaware_mnv2_none_mlp_s42,mobilenet_v2,"[""mobilenet_v2""]",mobilenet_v2,1,finetuned_classaware,none,42,1280,,,,True,adamw,0.001,0.0001,0.3,"[512, 256]",single_backbone_finetuned_classaware_baseline,,0.6280914717321956,15,0.751664447403462,0.5544251347336692,0.6424099415755798,0.5917226822514776,0.7622700213406629,single,mnv2,mnv2
20260531_134539_finetuned_classaware_r50_none_mlp_s42,resnet50,"[""resnet50""]",resnet50,1,finetuned_classaware,none,42,2048,,,,True,adamw,0.001,0.0001,0.3,"[512, 256]",single_backbone_finetuned_classaware_baseline,,0.6578279145676785,3,0.7842876165113183,0.6371142649182957,0.6851936470234996,0.6482457153513278,0.7876895518485032,single,r50,r50
20260531_141134_finetuned_classaware_mnv2-effb0_concat_mlp_s42,,"[""mobilenet_v2"", ""efficientnet_b0""]",mobilenet_v2+efficientnet_b0,2,finetuned_classaware,concat,42,2560,2560.0,2560.0,,True,adamw,0.001,0.0001,0.3,"[512, 256]",finetuned_classaware_fusion_matrix,,0.6625853533178695,10,0.7563249001331558,0.595537520563781,0.6592295226938283,0.6209377304691884,0.7696613219799531,pairwise,mnv2+effb0 concat,mnv2+effb0 concat
20260531_141148_finetuned_classaware_mnv2-effb0_weighted_mlp_s42,,"[""mobilenet_v2"", ""efficientnet_b0""]",mobilenet_v2+efficientnet_b0,2,finetuned_classaware,weighted,42,512,2560.0,512.0,512.0,True,adamw,0.001,0.0001,0.3,"[512, 256]",finetuned_classaware_fusion_matrix,,0.6363765048625061,9,0.7490013315579228,0.595183135534512,0.6395217821772762,0.6124213155279925,0.7629094321494438,pairwise,mnv2+effb0 weighted,mnv2+effb0 weighted
20260531_141110_finetuned_classaware_r50-effb0_concat_mlp_s42,,"[""resnet50"", ""efficientnet_b0""]",resnet50+efficientnet_b0,2,finetuned_classaware,concat,42,3328,3328.0,3328.0,,True,adamw,0.001,0.0001,0.3,"[512, 256]",finetuned_classaware_fusion_matrix,,0.6842962153535254,3,0.796271637816245,0.6408444881862829,0.6806859735065586,0.6519163153489519,0.7966652645053689,pairwise,r50+effb0 concat,r50+effb0 concat
20260531_141123_finetuned_classaware_r50-effb0_weighted_mlp_s42,,"[""resnet50"", ""efficientnet_b0""]",resnet50+efficientnet_b0,2,finetuned_classaware,weighted,42,512,3328.0,512.0,512.0,True,adamw,0.001,0.0001,0.3,"[512, 256]",finetuned_classaware_fusion_matrix,,0.6682167598452585,8,0.7916111850865513,0.6637627560247745,0.673491854064358,0.6628409057045008,0.7936513521109569,pairwise,r50+effb0 weighted,r50+effb0 weighted
20260531_141051_finetuned_classaware_r50-mnv2_concat_mlp_s42,,"[""resnet50"", ""mobilenet_v2""]",resnet50+mobilenet_v2,2,finetuned_classaware,concat,42,3328,3328.0,3328.0,,True,adamw,0.001,0.0001,0.3,"[512, 256]",finetuned_classaware_fusion_matrix,,0.6702961046792034,4,0.8209054593874834,0.7062647413185701,0.6909119445619574,0.694578007017162,0.8164324023079776,pairwise,r50+mnv2 concat,r50+mnv2 concat
20260531_141102_finetuned_classaware_r50-mnv2_weighted_mlp_s42,,"[""resnet50"", ""mobilenet_v2""]",resnet50+mobilenet_v2,2,finetuned_classaware,weighted,42,512,3328.0,512.0,512.0,True,adamw,0.001,0.0001,0.3,"[512, 256]",finetuned_classaware_fusion_matrix,,0.6540038125097949,6,0.7869507323568575,0.6794843520820721,0.6734223744980127,0.673799804578436,0.792922743500872,pairwise,r50+mnv2 weighted,r50+mnv2 weighted
20260531_141157_finetuned_classaware_r50-mnv2-effb0_concat_mlp_s42,,"[""resnet50"", ""mobilenet_v2"", ""efficientnet_b0""]",resnet50+mobilenet_v2+efficientnet_b0,3,finetuned_classaware,concat,42,4608,4608.0,4608.0,,True,adamw,0.001,0.0001,0.3,"[512, 256]",finetuned_classaware_fusion_matrix,,0.6789344873884772,4,0.8095872170439414,0.6838238061771372,0.6816797084381765,0.6762134480038017,0.8051222015451514,three-backbone,r50+mnv2+effb0 concat,r50+mnv2+effb0 concat
20260531_141209_finetuned_classaware_r50-mnv2-effb0_weighted_mlp_s42,,"[""resnet50"", ""mobilenet_v2"", ""efficientnet_b0""]",resnet50+mobilenet_v2+efficientnet_b0,3,finetuned_classaware,weighted,42,512,4608.0,512.0,512.0,True,adamw,0.001,0.0001,0.3,"[512, 256]",finetuned_classaware_fusion_matrix,,0.682135840921072,6,0.788948069241012,0.664845896600628,0.700235818930733,0.6780731455142315,0.79741803432828,three-backbone,r50+mnv2+effb0 weighted,r50+mnv2+effb0 weighted
