backbone_combination,fusion_method,display_name,classaware_run_id,canonical_run_id,classaware_best_val_macro_f1,canonical_best_val_macro_f1,val_macro_f1_gain,classaware_accuracy,canonical_accuracy,accuracy_gain,classaware_macro_f1,canonical_macro_f1,macro_f1_gain,classaware_weighted_f1,canonical_weighted_f1,weighted_f1_gain
resnet50+mobilenet_v2,concat,r50+mnv2 concat,20260531_141051_finetuned_classaware_r50-mnv2_concat_mlp_s42,20260529_173707_finetuned_r50-mnv2_concat_mlp_s42,0.6702961046792034,0.6473257154109608,0.022970389268242575,0.8209054593874834,0.7862849533954727,0.03462050599201072,0.694578007017162,0.6852993171057028,0.009278689911459193,0.8164324023079776,0.7951656832114966,0.021266719096481035
resnet50+mobilenet_v2+efficientnet_b0,weighted,r50+mnv2+effb0 weighted,20260531_141209_finetuned_classaware_r50-mnv2-effb0_weighted_mlp_s42,20260529_173817_finetuned_r50-mnv2-effb0_weighted_mlp_s42,0.682135840921072,0.6461912447438763,0.0359445961771957,0.788948069241012,0.800266311584554,-0.011318242343541951,0.6780731455142315,0.6867827900397871,-0.008709644525555671,0.79741803432828,0.8015411793906424,-0.004123145062362443
resnet50+mobilenet_v2+efficientnet_b0,concat,r50+mnv2+effb0 concat,20260531_141157_finetuned_classaware_r50-mnv2-effb0_concat_mlp_s42,20260529_173806_finetuned_r50-mnv2-effb0_concat_mlp_s42,0.6789344873884772,0.6552454467854106,0.023689040603066536,0.8095872170439414,0.810918774966711,-0.0013315579227696217,0.6762134480038017,0.7059113258715694,-0.029697877867767675,0.8051222015451514,0.8128550545674091,-0.007732853022257791
resnet50+mobilenet_v2,weighted,r50+mnv2 weighted,20260531_141102_finetuned_classaware_r50-mnv2_weighted_mlp_s42,20260529_173720_finetuned_r50-mnv2_weighted_mlp_s42,0.6540038125097949,0.6664562329200016,-0.012452420410206666,0.7869507323568575,0.7676431424766977,0.019307589880159792,0.673799804578436,0.6511762007118466,0.02262360386658946,0.792922743500872,0.7749477939945739,0.017974949506298077
resnet50+efficientnet_b0,weighted,r50+effb0 weighted,20260531_141123_finetuned_classaware_r50-effb0_weighted_mlp_s42,20260529_173742_finetuned_r50-effb0_weighted_mlp_s42,0.6682167598452585,0.6414642269855543,0.026752532859704248,0.7916111850865513,0.7942743009320905,-0.0026631158455392434,0.6628409057045008,0.6976650579184576,-0.03482415221395674,0.7936513521109569,0.8024896420508434,-0.008838289939886446
resnet50+efficientnet_b0,concat,r50+effb0 concat,20260531_141110_finetuned_classaware_r50-effb0_concat_mlp_s42,20260529_173730_finetuned_r50-effb0_concat_mlp_s42,0.6842962153535254,0.6371610461645419,0.04713516918898342,0.796271637816245,0.7922769640479361,0.003994673768308865,0.6519163153489519,0.6787325242339214,-0.026816208884969495,0.7966652645053689,0.7981244275676345,-0.0014591630622655671
resnet50,none,r50,20260531_134539_finetuned_classaware_r50_none_mlp_s42,20260529_173629_finetuned_r50_none_mlp_s42,0.6578279145676785,0.6458333941339982,0.011994520433680322,0.7842876165113183,0.7756324900133156,0.008655126498002708,0.6482457153513278,0.6577546004544469,-0.009508885103119091,0.7876895518485032,0.7850908394351291,0.0025987124133740602
mobilenet_v2+efficientnet_b0,concat,mnv2+effb0 concat,20260531_141134_finetuned_classaware_mnv2-effb0_concat_mlp_s42,20260529_173748_finetuned_mnv2-effb0_concat_mlp_s42,0.6625853533178695,0.6168746509915232,0.04571070232634633,0.7563249001331558,0.7163781624500666,0.039946737683089206,0.6209377304691884,0.601564531147144,0.0193731993220444,0.7696613219799531,0.7373879584152812,0.03227336356467192
efficientnet_b0,none,effb0,20260531_134600_finetuned_classaware_effb0_none_mlp_s42,20260529_173652_finetuned_effb0_none_mlp_s42,0.5689631391203409,0.5599831007389472,0.008980038381393718,0.7350199733688415,0.7490013315579228,-0.013981358189081305,0.6189619630415101,0.5957337752121764,0.02322818782933367,0.7535424076699566,0.7598566316951374,-0.006314224025180781
mobilenet_v2+efficientnet_b0,weighted,mnv2+effb0 weighted,20260531_141148_finetuned_classaware_mnv2-effb0_weighted_mlp_s42,20260529_173756_finetuned_mnv2-effb0_weighted_mlp_s42,0.6363765048625061,0.6044370886067433,0.0319394162557628,0.7490013315579228,0.7057256990679095,0.043275632490013316,0.6124213155279925,0.5940426542458282,0.018378661282164255,0.7629094321494438,0.7290613682718625,0.033848063877581325
mobilenet_v2,none,mnv2,20260531_134554_finetuned_classaware_mnv2_none_mlp_s42,20260529_173640_finetuned_mnv2_none_mlp_s42,0.6280914717321956,0.6290972723511323,-0.0010058006189367363,0.751664447403462,0.7343541944074568,0.017310252996005304,0.5917226822514776,0.5749695585555911,0.01675312369588655,0.7622700213406629,0.7503753841626157,0.011894637178047174
