backbone_combination,fusion_method,run_count,best_run_id,best_candidate_name,best_val_macro_f1,best_test_macro_f1,best_test_accuracy,best_test_weighted_f1,median_val_macro_f1,min_val_macro_f1,max_val_macro_f1
resnet50+mobilenet_v2+efficientnet_b0,weighted,2,20260531_213529_finetuned_r50-mnv2-effb0_weighted_mlp_w_cw_adamw_low_lr_p512_s42,w_cw_adamw_low_lr_p512,0.6802763048359945,0.6989555485753057,0.8015978695073236,0.8078492311362607,0.6716678184921188,0.6630593321482429,0.6802763048359945
resnet50+mobilenet_v2+efficientnet_b0,concat,2,20260531_213247_finetuned_r50-mnv2-effb0_concat_mlp_nocw_adamw_base_s42,nocw_adamw_base,0.6600120683298158,0.6879632412708778,0.8122503328894807,0.8067332854188961,0.6554504028495276,0.6508887373692395,0.6600120683298158
resnet50+efficientnet_b0,concat,2,20260531_213213_finetuned_r50-effb0_concat_mlp_cw_adamw_small_s42,cw_adamw_small,0.6592631378080261,0.674744494206861,0.7876165113182424,0.7943991930023041,0.6581841166286687,0.6571050954493113,0.6592631378080261
resnet50,none,2,20260531_213037_finetuned_r50_none_mlp_nocw_adamw_base_s42,nocw_adamw_base,0.6530738191808517,0.684338266070566,0.8069241011984021,0.7981066118944053,0.6524647453836621,0.6518556715864723,0.6530738191808517
resnet50+mobilenet_v2,weighted,2,20260531_213323_finetuned_r50-mnv2_weighted_mlp_w_cw_adamw_low_lr_p512_s42,w_cw_adamw_low_lr_p512,0.6526289758352787,0.6916526169137983,0.8029294274300932,0.8015546316881205,0.6484850073589643,0.64434103888265,0.6526289758352787
mobilenet_v2+efficientnet_b0,concat,2,20260531_213223_finetuned_mnv2-effb0_concat_mlp_nocw_adamw_base_s42,nocw_adamw_base,0.650878277012449,0.6511408743349193,0.8062583222370173,0.800093064666086,0.6450594796451172,0.6392406822777853,0.650878277012449
resnet50+mobilenet_v2,concat,2,20260531_213138_finetuned_r50-mnv2_concat_mlp_nocw_adamw_base_s42,nocw_adamw_base,0.6487909807766484,0.6571944109004308,0.8015978695073236,0.7969674081309626,0.6441262301348164,0.6394614794929844,0.6487909807766484
resnet50+efficientnet_b0,weighted,2,20260531_213424_finetuned_r50-effb0_weighted_mlp_w_cw_adamw_base_p1024_s42,w_cw_adamw_base_p1024,0.6459440530523208,0.6605081668016709,0.8009320905459387,0.8024940953306942,0.6427551041628128,0.6395661552733048,0.6459440530523208
mobilenet_v2,none,2,20260531_213101_finetuned_mnv2_none_mlp_cw_adamw_small_s42,cw_adamw_small,0.6356641758218401,0.5795560309302884,0.7250332889480693,0.7454538166850597,0.6341970952226809,0.6327300146235216,0.6356641758218401
mobilenet_v2+efficientnet_b0,weighted,2,20260531_213445_finetuned_mnv2-effb0_weighted_mlp_w_cw_adamw_low_lr_p512_s42,w_cw_adamw_low_lr_p512,0.6238670618020938,0.6413187587556893,0.748335552596538,0.7647358161454494,0.6119189006921113,0.5999707395821289,0.6238670618020938
efficientnet_b0,none,2,20260531_213108_finetuned_effb0_none_mlp_nocw_adamw_base_s42,nocw_adamw_base,0.5761126350545925,0.6127463897479404,0.7816245006657789,0.768554865328464,0.5741185253383987,0.5721244156222048,0.5761126350545925
