split,backbone,feature_dim,samples,mean_feature_norm,std_feature_norm,mean_abs_activation,mean_dimension_std,max_abs_activation
train,resnet50,2048,6981,22.021516799926758,6.034272193908691,0.2610205411911011,0.3886665403842926,14.8359375
train,mobilenet_v2,1280,6981,14.985711097717285,3.3245720863342285,0.23538480699062347,0.3474034368991852,4.86328125
train,efficientnet_b0,1280,6981,15.205512046813965,3.619600772857666,0.2625948488712311,0.3906491994857788,11.2734375
val,resnet50,2048,1532,21.843271255493164,5.206662178039551,0.2638886570930481,0.378384530544281,10.4765625
val,mobilenet_v2,1280,1532,14.766214370727539,3.0826570987701416,0.23049874603748322,0.34078001976013184,4.3046875
val,efficientnet_b0,1280,1532,15.136519432067871,3.300556182861328,0.261130690574646,0.38672715425491333,7.44921875
test,resnet50,2048,1502,21.621328353881836,5.628646373748779,0.25983601808547974,0.3767088055610657,15.8671875
test,mobilenet_v2,1280,1502,14.930001258850098,3.20703125,0.23546212911605835,0.3441561162471771,4.29296875
test,efficientnet_b0,1280,1502,15.268559455871582,3.6391735076904297,0.2638646960258484,0.39173829555511475,8.6328125
